a,ɑː,,"['conjunction', 'interjection', 'adverb', 'preposition', 'letter', 'noun', 'adjective', 'verb', 'pronoun']"
aberrations,a.bɛ.ʁa.sjɔ̃,,['noun']
abet,əˈbɛt,,"['verb', 'noun']"
abets,əˈbɛts,,"['verb', 'noun']"
abetted,əˈbɛtɪd,,['verb']
abetting,əˈbɛtɪŋ,,"['verb', 'noun']"
abettor,əˈbɛtə,,['noun']
abeyance,əˈbeɪ.əns,,['noun']
abhor,əbˈhɔː(ɹ),,['verb']
abhorred,æbˈhɔɹd,,"['adjective', 'verb']"
abhorrence,əbˈhɒɹ.n̩s,,['noun']
abhorrent,æbˈ(h)ɒɹ.ənt,,"['adjective', 'verb']"
abhorrently,æbˈhɔɹ.ənt.li,,['adverb']
abhorring,æbˈhɔɹ.ɪŋ,,"['verb', 'noun']"
abidance,əˈbaɪd.n̩s,,['noun']
abide,əˈbaɪd,,"['verb', 'noun']"
abides,əˈbaɪds,,"['verb', 'noun']"
abiding,əˈbaɪ.dɪŋ,,"['verb', 'adjective', 'noun']"
abidingly,əˈbaɪ.dɪŋ.li,,['adverb']
ability,əˈbɪl.ə.ti,,['noun']
abject,ˈæb.d͡ʒɛkt,,"['verb', 'adjective', 'noun']"
abjection,æbˈd͡ʒɛk.ʃn̩,,['noun']
abjectly,æbˈd͡ʒɛktli,,['adverb']
abjectness,æbˈd͡ʒɛkt.nəs,,['noun']
abjuration,ˌæb.d͡ʒʊˈɹeɪ.ʃn̩,,['noun']
abjuratory,æbˈd͡ʒʊɹ.əˌtɔɹ.i,,['adjective']
abjure,æbˈdʒʊɹ,,['verb']
abjured,əbˈdʒʊəd,,"['adjective', 'verb']"
abjurer,æbˈd͡ʒʊɹ.ɚ,,"['verb', 'noun']"
abjures,əbˈdʒʊəz,,['verb']
abjuring,əbˈdʒʊɹɪŋ,,['verb']
ablate,əˈbleɪt,,['verb']
ablation,əˈbleɪ.ʃn̩,,['noun']
ablative,ˈæb.lə.tɪv,,"['adjective', 'noun']"
ablaze,əˈbleɪz,,"['adverb', 'adjective']"
able,ˈeɪ.bl̩,,"['adverb', 'verb', 'adjective', 'noun']"
abler,eɪ.blɚ,,['adjective']
ablest,eɪ.bləst,,"['adjective', 'verb']"
abloom,əˈbluːm,,"['adverb', 'adjective']"
ablution,əˈbluː.ʃn̩,,['noun']
ably,ˈeɪ.bli,,['adverb']
abnegate,ˈæb.nɪ.ɡeɪt,,['verb']
abnegation,ˌæbnɪˈɡeɪʃən,,['noun']
abnormal,ˈæbˌnɔɹ.ml̩,,"['adjective', 'noun']"
abnormality,ˌæbˌnɔɹˈmæl.ət.i,,['noun']
abnormally,æbˈnɔɹ.mə.li,,['adverb']
aboard,əˈbɔːd,,"['adverb', 'preposition']"
abode,əˈbəʊd,,"['verb', 'noun']"
abolish,əˈbɒlɪʃ,,['verb']
abolished,əˈbɒlɪʃt,,['verb']
abolition,ˌæb.əˈlɪʃ.n̩,,['noun']
abolitionism,ˌæb.əˈlɪʃ.əˌnɪz.m̩,,['noun']
abolitionist,ˌæ.bə.ˈlɪʃ.n̩.ɪst,,"['adjective', 'noun']"
abolitionists,ˈæ.bə.lɪʃn̩.ɪsts,,['noun']
abominable,əˈbɑm.ə.nə.bl̩,,['adjective']
abominably,əˈbɑm.ə.nə.bli,,['adverb']
abominate,əˈbɒm.əˌnəɪt,,"['adjective', 'verb']"
abomination,əˌbɑm.əˈneɪ.ʃn̩,,['noun']
aboriginal,ˌæb.əˈɹɪd͡ʒ.n̩.l̩,,"['adjective', 'noun']"
aborigine,ˌæb.əˈɹɪdʒ.ɪ.ni,,['noun']
aborning,əˈbɔɹ.nɪŋ,,"['adverb', 'adjective']"
abort,əˈbɔːt,,"['verb', 'noun']"
aborted,əˈbɔrtɪd,,"['adjective', 'verb']"
abortion,əˈbɔɹ.ʃn̩,,['noun']
abortionist,əˈbɔɹ.ʃə.nɪst,,['noun']
abortive,əˈbɔɹ.tɪv,,"['verb', 'adjective', 'noun']"
abortively,əˈbɔɹ.tɪv.li,,['adverb']
aborts,aboɾts,,"['verb', 'noun']"
abound,əˈbaʊnd,,['verb']
abounding,əˈbaʊn.dɪŋ,,"['verb', 'adjective', 'noun']"
about,əˈ baʊt,,"['adverb', 'preposition', 'adjective', 'noun']"
above,əˈbʌv,,"['adverb', 'preposition', 'adjective', 'noun']"
abracadabra,ˌabɹəkəˈdabɹə,,"['interjection', 'noun']"
abrade,əˈbɹeɪd,,['verb']
abrasion,əˈbɹeɪ.ʒn̩,,['noun']
abrasive,əˈbɹeɪ.sɪv,,"['adjective', 'noun']"
abrasively,ə.ˈbɹeɪ.sɪv.li,,['adverb']
abreast,əˈbɹɛst,,"['adverb', 'preposition', 'adjective']"
abridge,əˈbɹɪd͡ʒ,,['verb']
abridged,əˈbɹɪdʒd,,"['adjective', 'verb']"
abridges,əˈbɹɪdʒɪz,,['verb']
abridging,əˈbɹɪdʒɪŋ,,['verb']
abridgment,əˈbɹɪd͡ʒ.mn̩t,,['noun']
abroad,əˈbɹɔːd,,"['adverb', 'preposition', 'noun']"
abrogate,ˈæ.bɹə.ɡət,,"['adjective', 'verb']"
abrogation,ˌæb.ɹəˈɡeɪ.ʃn̩,,['noun']
abrogator,ˈæb.ɹəˌɡeɪ.tɚ,,"['verb', 'noun']"
abrupt,əˈbɹʌpt,,"['adverb', 'verb', 'adjective', 'noun']"
abruptly,əˈbɹʌp.li,,['adverb']
abruptness,əˈbɹʌp.nəs,,['noun']
abs,æbz,,"['interjection', 'verb', 'adjective', 'noun']"
abscess,ˈæbsɛs,,"['verb', 'noun']"
abscissa,æbˈsɪs.ə,,['noun']
abscission,æbˈsɪ.ʃn̩,,['noun']
abscond,əbˈskɒnd,,['verb']
absconder,æbˈskɑn.dɚ,,"['verb', 'noun']"
abseil,ˈæb.seɪl,,"['verb', 'noun']"
absence,ˈæb.s(ə)n̩s,,['noun']
absent,ˈæb.sn̩t,,"['preposition', 'verb', 'adjective', 'noun']"
absentee,ˌæb.sn̩ˈti,,"['adjective', 'noun']"
absenteeism,æb.sənˈtiːˌɪz.m̩,,['noun']
absently,ˈæb.sn̩t.li,,['adverb']
absents,əpˈsens,,"['adjective', 'verb']"
absinthe,ˈæb.sɪnθ,,['noun']
absolute,ˈæb.səˌluːt,,"['adverb', 'adjective', 'noun']"
absolutely,æb.sə.ˈl(j)uːt.lɪ,,"['adverb', 'interjection']"
absoluteness,ˈab.sə.luːt.nəs,,['noun']
absolution,æb.səˈljuː.ʃn̩,,['noun']
absolutism,ˈæb.sə.luː.tɪz.m̩,,['noun']
absolutist,ˈæb.səˌluː.tɪst,,"['adjective', 'noun']"
absolve,əbˈzɒlv,,['verb']
absorb,əbˈzɔːb,,['verb']
absorbance,əbˈsɔɹ.bn̩s,,['noun']
absorbed,æbˈsɔɹbd,,"['adjective', 'verb']"
absorbency,æb.sɔɹ.bn̩.si,,['noun']
absorbent,əbˈsɔː.bn̩t,,"['verb', 'adjective', 'noun']"
absorbing,əbˈzɔː.bɪŋ,,"['adjective', 'verb']"
absorbingly,æbˈsɔɹb.ɪŋ.li,,['adverb']
absorption,əbˈzɔːp.ʃn̩,,['noun']
absorptive,æbˈsɔɹp.tɪv,,"['adjective', 'noun']"
abstain,əbˈsteɪn,,['verb']
abstainer,æbˈsteɪ.nɚ,,['noun']
abstemious,æbˈstiː.mɪ.əs,,['adjective']
abstemiously,æbˈsti.mi.əs.li,,['adverb']
abstemiousness,æbˈsti.mi.əs.nəs,,['noun']
abstention,əbˈstɛn.ʃn̩,,['noun']
abstinence,ˈæb.stɪ.nəns,,['noun']
abstinent,ˈæb.stɪ.nn̩t,,"['verb', 'adjective', 'noun']"
abstract,ˈæbˌstɹækt,,"['verb', 'adjective', 'noun']"
abstracted,əb.ˈstɹæk.tɪd,,"['adjective', 'verb']"
abstractedly,əbˈstɹæk.tɪd.li,,['adverb']
abstractedness,əbˈstɹæk.tɪd.nəs,,['noun']
abstraction,əbˈstɹæk.ʃn̩,,['noun']
abstractions,ap.stʁak.sjɔ̃,,['noun']
abstractly,æbˈstɹækt.li,,['adverb']
abstractness,æbˈstɹæk.nəs,,['noun']
abstruse,əbˈstɹuːs,,['adjective']
abstrusely,əbˈstɹuːs.li,,['adverb']
abstruseness,əbˈstɹuːs.nəs,,['noun']
absurd,əbˈsɜːd,,"['adverb', 'adjective', 'noun']"
absurdist,əbˈsɜːd.əst,,"['adjective', 'noun']"
absurdity,əbˈsɜːd.ɪ.ti,,['noun']
absurdly,əbˈsɜːd.li,,['adverb']
absurdness,əbˈsɜːd.nəs,,['noun']
abundance,əˈbʌn.dn̩s,,['noun']
abundant,əˈbʌn.dn̩t,,"['adjective', 'verb']"
abundantly,əˈbʌn.dn̩t.li,,['adverb']
abuse,əˈbjuːs,,"['verb', 'noun']"
abused,əˈbjuːzd,,"['adjective', 'verb']"
abuser,əˈbjuː.zɚ,,"['verb', 'noun']"
abuses,əˈbjuːsɪz,,"['verb', 'noun']"
abusive,əˈbjuː.sɪv,,['adjective']
abusively,əˈbjuː.sɪv.li,,['adverb']
abusiveness,əˈbjuː.sɪv.nəs,,['noun']
abut,əˈbʌt,,"['preposition', 'verb', 'conjunction', 'noun']"
abutment,əˈbʌt.mn̩t,,['noun']
abuts,əˈbʌts,,['verb']
abutting,əˈbʌt.ɪŋ,,"['verb', 'adjective', 'noun']"
abuzz,əˈbʌz,,['adjective']
abysmal,əˈbɪz.məl,,['adjective']
abysmally,əˈbɪz.ml̩.i,,['adverb']
abyss,əˈbɪs,,['noun']
abyssal,əˈbɪs.l̩,,['adjective']
ac,ɑd͡ʒ,,"['conjunction', 'preposition', 'noun', 'adjective', 'pronoun']"
acacia,əˈkeɪ.ʃə,,['noun']
academe,ˈæk.ə.diːm,,['noun']
academia,ˌæ.kə.ˈdiː.mɪ.ə,,['noun']
academic,ˌækəˈdɛmɪk,,"['adjective', 'noun']"
academical,ˌæk.əˈdɛm.ɪ.kl̩,,"['adjective', 'noun']"
academically,ˌæk.əˈdɛm.ɪk.ə.li,,['adverb']
academician,əˌka.dəˈmɪʃ.n̩,,['noun']
academics,ˌækəˈdɛmɪks,,['noun']
academies,əˈkædəmiz,,['noun']
academy,əˈkæd.ə.mi,,['noun']
acanthus,əˈkæn.θəs,,['noun']
accede,əkˈsiːd,,['verb']
acceding,iːdɪ,,['verb']
accelerate,ək.ˈsɛl.ə.ˌɹeɪt,,"['adjective', 'verb']"
acceleration,ək.ˌsɛl.ə.ˈɹeɪ.ʃən,,['noun']
accelerator,æk.ˈsɛl.ə.ˌɹeɪ.tɚ,,"['verb', 'adjective', 'noun']"
accent,ˈak.sənt,,"['verb', 'noun']"
accents,ˈæk.sɛnts,,"['verb', 'noun']"
accentual,æk.ˈsɛn.tʃu.əl,,['adjective']
accentuate,əkˈsen.tʃu.eɪt,,"['adjective', 'verb']"
accentuation,ˌæk.ˌsɛn.tʃə.ˈweɪ.ʃən,,['noun']
accept,əkˈsɛpt,,"['verb', 'adjective', 'noun']"
acceptability,ˌæk.ˌsɛp.tə.ˈbɪl.ət.i,,['noun']
acceptable,æk.ˈsɛp.tə.bəl,,['adjective']
acceptableness,æk.ˈsɛp.tə.bəl.nəs,,['noun']
acceptably,æk.ˈsɛp.tə.bli,,['adverb']
acceptance,ək.ˈsɛp.təns,,['noun']
acceptation,ˌæk.sɛp.ˈteɪ.ʃən,,['noun']
accepted,æk.ˈsɛp.tɪd,,"['adjective', 'verb']"
accepting,əkˈsɛptɪŋ,,"['adjective', 'verb']"
accepts,əkˈsɛpts,,"['verb', 'noun']"
access,ˈæksɛs,,"['verb', 'noun']"
accessed,ˈæksɛst,,['verb']
accesses,ˈæksɛsɪz,,"['verb', 'noun']"
accessibility,ækˌsɛs.əˈbɪl.ət.i,,['noun']
accessible,əkˈsɛs.ə.bəl,,['adjective']
accessibly,æk.ˈsɛs.ə.bli,,['adverb']
accessing,ˈæksɛsɪŋ,,['verb']
accession,æk.ˈsɛ.ʃən,,"['verb', 'noun']"
accessorize,əkˈsɛsəɹaɪz,,['verb']
accessory,əkˈsɛsəɹi,,"['adjective', 'noun']"
accident,ˈæk.sə.dənt,,"['verb', 'noun']"
accidental,ˌæk.sɪ.ˈdɛn.tl̩,,"['adjective', 'noun']"
accidentally,ˌæksəˈdɛnt(ə)li,,['adverb']
accidentals,ək.si.dənˈtals,,"['adjective', 'noun']"
acclaim,ə.ˈkleɪm,,"['verb', 'noun']"
acclaimed,əˈkleɪmd,,"['adjective', 'verb']"
acclaiming,əˈkleɪmɪŋ,,"['adjective', 'verb']"
acclaims,əˈkleɪmz,,"['verb', 'noun']"
acclamation,æk.lə.ˈmeɪ.ʃən,,['noun']
acclimate,əˈklaɪ.mət,,['verb']
acclimated,ˈæk.lɪm.eɪt.əd,,"['adjective', 'verb']"
acclimation,æk.lə.ˈmeɪ.ʃən,,['noun']
acclimatization,ə.ˌklaɪ.mə.tə.ˈzeɪ.ʃən,,['noun']
acclimatize,ə.ˈklaɪ.mə.ˌtaɪz,,['verb']
acclivity,əˈklɪv.ə.ti,,['noun']
accolade,ˈæk.ə.ˌleɪd,,"['verb', 'noun']"
accolades,a.kɔ.lad,,"['verb', 'noun']"
accommodate,əˈkɒməˌdeɪt,,"['adverb', 'adjective', 'verb']"
accommodating,ə.ˈkɒm.ə.ˌdeɪ.tɪŋ,,"['adjective', 'verb']"
accommodatingly,ə.ˈkɒm.ə.ˌdeɪt.ɪŋ.li,,['adverb']
accommodation,ə.ˌkɒm.ə.ˈdeɪ.ʃən,,['noun']
accompanied,əˈkʌmpənid,,"['adjective', 'verb']"
accompaniment,ə.ˈkʌm.pə.ni.mənt,,['noun']
accompanist,əˈkʌmp(ə)nɪst,,['noun']
accompany,əˈkʌm.pə.ni,,['verb']
accompanying,əˈkʌm.p(ə.)ni.ɪŋ,,"['verb', 'adjective', 'noun']"
accomplice,ə.ˈkʌm.plɪs,,['noun']
accomplish,əˈkʌm.plɪʃ,,['verb']
accomplished,ə.ˈkɑm.plɪʃt,,"['adjective', 'verb']"
accomplishment,ə.ˈkʌm.plɪʃ.mənt,,['noun']
accomplishments,ə.ˈkɑm.plɪʃ.mənts,,['noun']
accord,əˈkɔːd,,"['verb', 'noun']"
accordance,əˈkɔɹ.dəns,,['noun']
accordant,əˈkɔɹd.ənt,,"['adjective', 'verb']"
accorded,ə.ˈkɔɹdɪd,,['verb']
according,əˈkɔː.dɪŋ,,"['adverb', 'adjective', 'verb']"
accordingly,ə.ˈkɔɹ.dɪŋ.li,,['adverb']
accordion,əˈkɔ(ɹ).di.ˌən,,"['verb', 'noun']"
accordionist,ə.ˈkɔɹd.i.ə.nəst,,['noun']
accost,ə.ˈkɔst,,"['verb', 'noun']"
account,ə.ˈkaʊnt,,"['verb', 'noun']"
accountability,ə.ˌkaʊn.tə.ˈbɪl.ət.i,,['noun']
accountable,əˈkaʊntəbl̩,,['adjective']
accountancy,ə.ˈkaʊnt.ən.si,,['noun']
accountant,ə.ˈkaʊn.tənt,,"['adjective', 'noun']"
accounted,əˈkaʊntɪd,,['verb']
accounting,ə.ˈkaʊn.tɪŋ,,"['verb', 'adjective', 'noun']"
accounts,əˈkaʊnts,,"['verb', 'noun']"
accouter,əˈku tɚ,,['verb']
accouterments,əˈkuːtəmənts,,['noun']
accredit,ə.ˈkɹɛd.ɪt,,['verb']
accreditation,əˌkɹɛd.ɪˈteɪ.ʃən,,['noun']
accredited,əˈkɹɛd.ɪt.əd,,"['adjective', 'verb']"
accrediting,əˈkɹɛdɪtɪŋ,,['verb']
accredits,əˈkɹɛdɪts,,['verb']
accretion,ə.ˈkɹi.ʃən,,['noun']
accrual,əˈkɹuːəl,,['noun']
accrue,əˈkɹuː,,"['verb', 'noun']"
accrued,əˈkɹuːd,,"['adjective', 'verb']"
accrues,əˈkɹuːz,,"['verb', 'noun']"
accruing,əˈkɹuːɪŋ,,['verb']
acculturate,ə.ˈkʌl.tʃə.ˌɹeɪt,,['verb']
acculturation,ə.ˌkʌl.tʃə.ˈɹeɪ.ʃən,,['noun']
accumulate,əˈkjuːmjʊˌleɪt,,"['adverb', 'adjective', 'verb']"
accumulated,əˈkjumjəleɪtɪd,,['verb']
accumulation,ə.ˌkjuːm.jə.ˈleɪ.ʃən,,['noun']
accumulative,ə.ˈkjum.jə.ˌleɪ.tɪv,,['adjective']
accumulator,ə.ˈkjum.jə.ˌleɪ.tɚ,,"['verb', 'noun']"
accuracy,ˈækjʊrəsɪ,,['noun']
accurate,ˈæk.jʊ.ɹət,,"['adverb', 'adjective']"
accurately,ˈæk.jə.ɹɪt.li,,['adverb']
accurateness,ˈæk.jə.ɹət.nəs,,['noun']
accursed,əˈkɜː.sɪd,,"['adjective', 'verb']"
accursedness,ə.ˈkɚ.səd.nəs,,['noun']
accusation,ˌæk.jʊ.ˈzeɪ.ʃən,,['noun']
accusative,əˈkjuːzətɪv,,"['adjective', 'noun']"
accusatory,ə.ˈkju.zə.ˌtɔɹ.i,,['adjective']
accuse,əˈkjuːz,,"['verb', 'noun']"
accused,ə.ˈkjuzd,,"['verb', 'adjective', 'noun']"
accuser,əˑˈkju.zɚ,,"['verb', 'noun']"
accuses,əˈkjuːzɪz,,['verb']
accusing,əˈkjuːzɪŋ,,"['verb', 'adjective', 'noun']"
accusingly,ə.ˈkju.zɪŋ.li,,['adverb']
accustom,ə.ˈkʌs.təm,,"['verb', 'noun']"
accustomed,ə.ˈkʌs.təmd,,"['adjective', 'verb']"
ace,eɪs,,"['verb', 'adjective', 'noun']"
aced,eɪst,,['verb']
acerbate,ˈa.sə.beɪt,,"['adjective', 'verb']"
acerbic,əˈsɜː(ɹ)bɪk,,['adjective']
acerbity,əˈsɜːbɪti,,['noun']
aces,ˈeɪ.sɪz,,"['verb', 'interjection', 'noun']"
acetaminophen,əˌsitəˈmɪnəfən,,['noun']
acetate,ˈæsɪteɪ̯t,,['noun']
acetic,iːtɪ,,['adjective']
acetone,ˈæ.sə.toʊn,,['noun']
acetonic,ˈæsɛˌtɒnɪk,,['adjective']
acetyl,əˈsiːtaɪl,,['noun']
acetylene,ə ˈsɛt əl ˌin,,['noun']
ache,eɪt͡ʃ,,"['verb', 'noun']"
ached,eɪkt,,['verb']
achene,əˈkiːn,,['noun']
aches,eɪks,,"['verb', 'noun']"
achier,ˈeɪ.ki.ə,,"['adjective', 'noun']"
achievable,əˈtʃivəbəl,,['adjective']
achieve,əˈtʃiːv,,['verb']
achieved,əˈtʃiːvd,,"['adjective', 'verb']"
achievement,əˈtʃiːvmənt,,['noun']
achievements,əˈt͡ʃiːvmənts,,['noun']
achieves,əˈtʃiːvz,,['verb']
achieving,əˈtʃiːvɪŋ,,"['verb', 'noun']"
aching,ˈeɪ.kɪŋ,,"['verb', 'adjective', 'noun']"
achoo,əˈt͡ʃuː,,"['verb', 'interjection', 'noun']"
achromatic,ˌækɹəʊˈmæt.ɪk,,['adjective']
achy,eɪ.ki,,['adjective']
acid,ˈæs.ɪd,,"['adjective', 'noun']"
acidic,əˈsɪdɪk,,['adjective']
acidifies,a.si.di.fi,,['verb']
acidity,əˈsɪdɪti,,['noun']
acidosis,əʊsɪ,,['noun']
acids,ˈæ.sɪdz,,['noun']
acidulous,əˈsɪdjʊləs,,['adjective']
acing,ˈeɪ.sɪŋ,,['verb']
acknowledge,əkˈnɒl.ɪdʒ,,['verb']
acknowledgment,əkˈnɑl.ɪd͡ʒ.mənt,,['noun']
acme,ˈæk.mi,,['noun']
acne,ˈæk.ni,,['noun']
acolyte,ˈæ.kə.laɪt,,['noun']
aconite,ˈæ.kə.naɪt,,"['adjective', 'noun']"
acorn,ˈeɪ.kɔɹn,,['noun']
acoustic,əˈkuː.stɪk,,"['adjective', 'noun']"
acoustics,əˈkuː.stɪks,,['noun']
acquaint,əˈkweɪnt,,"['adjective', 'verb']"
acquaintance,əˈkweɪntəns,,['noun']
acquainted,əˈkweɪntɪd,,"['adjective', 'verb']"
acquiesce,ˌækwiˈɛs,,['verb']
acquiescence,ˌæk.wiːˈɛs.əns,,['noun']
acquiescent,æˈkwi.ɛsn̩t,,"['adjective', 'verb']"
acquire,əˈkwaɪəɹ,,['verb']
acquired,əˈkwaɪɹd,,"['adjective', 'verb']"
acquirement,əˈkwaɪə(ɹ)mənt,,['noun']
acquirer,aɪəɹə(ɹ,,['noun']
acquiring,əˈkwaɪ(ə)ɹɪŋ,,['verb']
acquisition,ˌæk.wɪˈzɪʃ.ən,,['noun']
acquit,əˈkwɪt,,['verb']
acquits,əˈkwɪts,,['verb']
acquittal,əˈkwɪ.t(ə)l,,['noun']
acquitted,əˈkwɪtɪd,,"['adjective', 'verb']"
acre,ˈeɪ.kə,,"['verb', 'adjective', 'noun']"
acreage,ˈeɪk(ə)ɹɪd͡ʒ,,['noun']
acres,ˈeɪ.kəz,,"['adjective', 'noun']"
acrid,ˈæk.ɹɪd,,['adjective']
acrimonious,ˌæk.ɹɪˈməʊ.nɪ.əs,,['adjective']
acrobat,ˈæk.ɹə.bæt,,"['verb', 'noun']"
acronym,ˈæk.ɹə.nɪm,,"['verb', 'noun']"
acronyms,ˈæ.kɹə.nɪmz,,"['verb', 'noun']"
acrophobia,əʊbi,,['noun']
acropolis,əˈkɹɒpəlɪs,,['noun']
acropolises,æˈkɹɒ.pɒ.lɪs.ɪz,,['noun']
across,əˈkɹɒs,,"['adverb', 'preposition', 'noun']"
acrostic,əˈkɹɒstɪk,,"['adjective', 'noun']"
acrylamide,əˈkɹɪləmaɪd,,['noun']
acrylic,ə.ˈkɹɪl.ɪk,,"['adjective', 'noun']"
acrylics,əˈkɹɪlɪks,,['noun']
act,ækt,,"['conjunction', 'verb', 'noun']"
acted,ˈæk.tɪd,,['verb']
acting,ˈæk.tɪŋ,,"['verb', 'adjective', 'noun']"
actinium,ækˈtɪniəm,,['noun']
action,ˈæk.ʃən,,"['verb', 'interjection', 'noun']"
actionable,ˈæk.ʃə.nə.bəl,,['adjective']
actions,ˈæk.ʃənz,,"['verb', 'noun']"
activate,ˈæktɪˌveɪt,,['verb']
activation,ˌæktɪˈveɪʃən,,['noun']
active,ˈæk.tɪv,,"['adverb', 'verb', 'adjective', 'noun']"
actively,ˈæktɪvli,,['adverb']
actives,ak.tiv,,"['verb', 'adjective', 'noun']"
activism,ˈæk.tɪ.vɪz.m̩,,['noun']
activist,ˈæk.tɪ.vɪst,,"['adjective', 'noun']"
activities,ækˈtɪ.vɪ.tiz,,['noun']
activity,ækˈtɪ.vɪ.ti,,['noun']
actor,ˈæk.tə,,['noun']
actress,ˈak.tɹəs,,['noun']
acts,ækts,,"['verb', 'noun']"
actual,ˈæk(t)ʃ(əw)əl,,"['adverb', 'adjective', 'noun']"
actuality,ˌæktjuˈælɪti,,['noun']
actually,ˈak.(t)ʃʊ.ə.li,,['adverb']
actuarial,æk.tjuˈɛəɹ.i.əl,,['adjective']
actuate,ˈæktʃu.eɪt,,['verb']
actuation,eɪʃə,,['noun']
actuator,ˈæk.tjuː.eɪt.ə(ɹ),,"['verb', 'noun']"
acuity,əˈkjuːɪti,,['noun']
acumen,ˈækjʊmən,,['noun']
acupuncture,ˈæ.kju.ˌpʌŋk.t͡ʃɝ,,"['verb', 'noun']"
acute,əˈkjuːt,,"['verb', 'adjective', 'noun']"
acutely,əˈkjuːtli,,['adverb']
acutes,a.kyt,,"['verb', 'adjective', 'noun']"
acyl,ˈæ.sɪl,,['noun']
ad,æd,,"['interjection', 'preposition', 'noun', 'pronoun', 'verb']"
adage,ˈæ.dɪdʒ,,['noun']
adagio,əˈdɑːdʒiəʊ,,"['adverb', 'verb', 'adjective', 'noun']"
adamant,ˈæd.ə.mənt,,"['verb', 'adjective', 'noun']"
adapt,əˈdæpt,,"['adjective', 'verb']"
adaptability,ədæptəˈbɪlɪti,,['noun']
adaptable,əˈdæptəbəl,,['adjective']
adaptation,ˌædæpˈteɪʃən,,['noun']
adapted,əˈdæptɪd,,"['adjective', 'verb']"
adapter,əˈdaptə,,"['verb', 'noun']"
adaption,əˈdæpʃən,,['noun']
adaptive,əˈdæp.tɪv,,['adjective']
add,æd,,"['verb', 'noun']"
added,ˈæd.əd,,['verb']
addend,ˈæd.ɛnd,,"['verb', 'noun']"
addenda,ɛnd,,['noun']
addendum,əˈdɛndəm,,['noun']
adder,ˈædɚ,,"['conjunction', 'verb', 'noun']"
addict,ˈæ.dɪkt,,"['verb', 'noun']"
addicted,əˈdɪktɪd,,"['adjective', 'verb']"
addicting,əˈdɪktɪŋ,,"['adjective', 'verb']"
addiction,əˈdɪkʃən,,['noun']
addictive,əˈdɪktɪv,,"['adjective', 'noun']"
adding,ˈæ.dɪŋ,,['verb']
addition,əˈdɪʃən,,['noun']
additional,əˈdɪʃənəl,,"['adjective', 'noun']"
additions,əˈdɪʃənz,,['noun']
additive,ˈæ.dɪ.tɪv,,"['adjective', 'noun']"
additives,əd.diˈti.vəs,,"['adjective', 'noun']"
